id,account,group,IP,url,port,vlan,switchIP,time,day,hour,minute,account_IP,account_url,account_switchIP,account_url_IP,url_IP_switchIP,account_IP__count,account_url__count,account_switchIP__count,account_url_IP__count,url_IP_switchIP__count,ret
37883,122,研发中心,38,481,33455,1000,115,2021/5/16 8:14,16,8,14,8664,48920,8701,225927,103848,93,11,48,1,3,0.1098
37884,122,研发中心,39,1095,38281,1000,77,2021/6/15 8:39,15,8,39,8665,49119,8682,226834,246906,83,8,26,1,1,0.1066
37885,122,研发中心,89,167,15517,1000,95,2021/5/13 7:31,13,7,31,8686,48796,8692,225387,25333,21,11,88,1,2,0.4849
37886,122,研发中心,125,498,38511,1000,13,2021/5/11 8:39,11,8,39,8703,48925,8649,225951,107499,119,2,117,1,1,0.4328
37887,122,研发中心,18,360,17457,1000,108,2021/5/25 9:32,25,9,32,8652,48872,8697,225725,75592,100,12,77,1,4,0.1893
37888,122,研发中心,4,1181,31733,1000,105,2021/5/19 7:25,19,7,25,8646,49140,8695,226910,264025,27,4,111,1,1,0.5167
37889,122,研发中心,24,389,11147,1000,115,2021/5/4 8:54,4,8,54,8655,48887,8701,225792,82886,118,15,48,1,1,0.3299
37890,122,研发中心,36,437,24277,1000,108,2021/6/25 6:55,25,6,55,8662,48905,8697,225864,93921,66,11,77,1,1,0.2018
37891,122,研发中心,101,157,32358,1000,15,2021/5/4 8:25,4,8,25,8693,48791,8651,225371,21830,115,7,112,1,1,0.2248
37892,122,研发中心,61,318,14167,1000,88,2021/6/12 9:16,12,9,16,8673,48856,8687,225679,67754,52,10,29,1,1,0.2827
37893,122,研发中心,13,1174,33186,1000,51,2021/5/2 6:27,2,6,27,8649,49138,8671,226902,262012,142,11,95,3,2,0.4124
37894,122,研发中心,129,806,15111,1000,108,2021/5/17 6:59,17,6,59,8704,49028,8697,226464,180078,107,8,77,2,2,0.1882
37895,122,研发中心,129,312,12123,1000,102,2021/5/5 8:14,5,8,14,8704,48854,8694,225668,66174,107,11,103,2,1,0.1188
37896,122,研发中心,77,375,38647,1000,108,2021/5/10 8:32,10,8,32,8680,48882,8697,225779,80526,87,5,77,2,1,0.0765
37897,122,研发中心,118,705,36815,1000,92,2021/6/19 7:22,19,7,22,8701,48989,8690,226268,154511,80,9,85,2,5,0.1062
37898,122,研发中心,79,604,27143,1000,90,2021/5/4 8:38,4,8,38,8682,48953,8688,226107,130430,25,13,127,1,1,0.5315
37899,122,研发中心,36,740,26574,1000,87,2021/5/11 6:42,11,6,42,8662,49003,8686,226344,163488,66,4,100,1,1,0.3
37900,122,研发中心,39,512,25551,1000,73,2021/6/12 5:51,12,5,51,8665,48931,8680,225968,109855,83,8,122,1,1,0.2079
37901,122,研发中心,108,748,36815,1000,13,2021/6/9 6:34,9,6,34,8696,49007,8649,226365,165451,87,8,117,1,2,0.1088
37902,122,研发中心,131,712,14124,1000,102,2021/5/18 8:41,18,8,41,8705,48992,8694,226282,156090,28,9,103,2,1,0.4522
37903,122,研发中心,23,246,25141,1000,114,2021/5/23 8:37,23,8,37,8654,48822,8700,225505,46056,119,13,54,1,1,0.2895
37904,122,研发中心,115,52,13217,1000,9,2021/5/19 7:16,19,7,16,8698,48781,8648,225323,12631,51,3,6,1,1,0.3933
37905,122,研发中心,38,1002,27881,1000,123,2021/5/7 8:29,7,8,29,8664,49091,8702,226719,228346,93,11,88,2,1,0.0657
37906,122,研发中心,26,1062,16318,1000,87,2021/6/15 7:36,15,7,36,8656,49111,8686,226787,240122,54,9,100,2,1,0.234
37907,122,研发中心,4,1318,15517,1000,13,2021/5/14 9:23,14,9,23,8646,49185,8649,227109,300883,27,13,117,1,1,0.4982
37908,122,研发中心,101,956,35733,1000,95,2021/6/6 6:44,6,6,44,8693,49070,8692,226610,215063,115,11,88,1,2,0.1659
37909,122,研发中心,23,284,31876,1000,91,2021/6/22 8:09,22,8,9,8654,48844,8689,225614,58696,119,6,134,1,2,0.2759
37910,122,研发中心,78,248,36113,1000,15,2021/5/24 9:14,24,9,14,8681,48823,8651,225517,46716,59,12,112,1,1,0.2951
37911,122,研发中心,91,243,24618,1000,90,2021/5/11 7:05,11,7,5,8687,48819,8688,225493,44998,134,6,127,1,1,0.3072
37912,122,研发中心,44,364,16648,1000,95,2021/6/6 8:17,6,8,17,8667,48874,8692,225737,76860,15,3,88,1,2,0.6249
37913,122,研发中心,26,965,33455,1000,91,2021/6/23 7:36,23,7,36,8656,49076,8689,226638,217854,54,13,134,1,3,0.3078
37914,122,研发中心,125,860,16863,1000,16,2021/6/15 7:59,15,7,59,8703,49037,8652,226480,192919,119,3,68,1,2,0.3962
37915,122,研发中心,18,1249,17757,1000,27,2021/5/25 6:40,25,6,40,8652,49162,8659,227006,281072,100,1,62,1,1,0.3958
37916,122,研发中心,24,1281,16514,1000,77,2021/5/7 8:59,7,8,59,8655,49172,8682,227042,291479,118,10,26,3,2,0.2577
37917,122,研发中心,23,1270,23782,1000,95,2021/6/11 6:12,11,6,12,8654,49168,8692,227025,288386,119,9,88,1,1,0.2837
37918,122,研发中心,61,665,25386,1000,92,2021/5/20 6:30,20,6,30,8673,48974,8690,226210,145040,52,11,85,2,1,0.2692
37919,122,研发中心,23,958,26616,1000,108,2021/5/1 7:29,1,7,29,8654,49072,8697,226617,215358,119,9,77,1,1,0.2477
37920,122,研发中心,111,263,34654,1000,102,2021/5/6 8:09,6,8,9,8697,48834,8694,225586,53006,7,3,103,1,1,0.6397
37921,122,研发中心,61,392,14652,1000,114,2021/6/10 9:04,10,9,4,8673,48888,8700,225801,84184,52,2,54,1,9,0.4386
37922,122,研发中心,77,25,25655,1000,27,2021/5/15 8:41,15,8,41,8680,48772,8659,225275,4429,87,10,62,1,1,0.1303
37923,122,研发中心,23,1155,34654,1000,13,2021/6/23 5:16,23,5,16,8654,49135,8649,226893,258437,119,11,117,3,4,0.3573
37924,122,研发中心,23,8,27734,1000,77,2021/6/23 4:21,23,4,21,8654,48770,8682,225262,2635,119,13,26,1,2,0.4259
37925,122,研发中心,37,1132,26162,1000,16,2021/5/27 8:52,27,8,52,8663,49133,8652,226883,255555,39,13,68,1,1,0.4201
37926,122,研发中心,131,473,17416,1000,123,2021/5/25 6:15,25,6,15,8705,48918,8702,225915,102364,28,5,88,1,1,0.5198
37927,122,研发中心,4,903,32746,1000,102,2021/6/4 8:06,4,8,6,8646,49054,8694,226558,204727,27,14,103,3,1,0.5205
37928,122,研发中心,18,449,28473,1000,13,2021/5/1 7:29,1,7,29,8652,48910,8649,225878,97460,100,11,117,1,2,0.1258
37929,122,研发中心,26,505,23231,1000,13,2021/5/23 6:19,23,6,19,8656,48929,8649,225957,108508,54,6,117,1,1,0.3567
37930,122,研发中心,39,1278,34572,1000,95,2021/5/27 9:02,27,9,2,8665,49170,8692,227032,290354,83,2,88,1,1,0.3624
37931,122,研发中心,38,202,31784,1000,15,2021/6/24 8:55,24,8,55,8664,48805,8651,225422,33784,93,12,112,1,2,0.1095
37932,122,研发中心,39,356,23782,1000,0,2021/5/19 6:57,19,6,57,8665,48869,8647,225719,74382,83,5,54,1,1,0.2807
37933,122,研发中心,16,44,33455,1000,16,2021/5/23 7:43,23,7,43,8650,48779,8652,225307,10440,14,9,68,1,2,0.52
37934,122,研发中心,78,969,22253,1000,105,2021/5/19 5:50,19,5,50,8681,49079,8695,226657,219701,59,1,111,1,1,0.5213
37935,122,研发中心,118,751,36148,1000,88,2021/6/9 7:32,9,7,32,8701,49009,8687,226370,166346,80,4,29,2,1,0.2691
37936,122,研发中心,78,1046,21712,1000,77,2021/6/23 8:16,23,8,16,8681,49109,8682,226783,238480,59,4,26,1,1,0.2934
37937,122,研发中心,39,251,35155,1000,105,2021/5/14 5:39,14,5,39,8665,48826,8695,225539,47972,83,23,111,1,1,0.6272
37938,122,研发中心,118,769,27156,1000,73,2021/6/18 6:17,18,6,17,8701,49015,8680,226404,170302,80,1,122,1,1,0.4337
37939,122,研发中心,91,373,25386,1000,92,2021/6/2 7:34,2,7,34,8687,48880,8690,225775,79694,134,7,85,3,4,0.2677
37940,122,研发中心,91,657,32358,1000,25,2021/5/8 5:03,8,5,3,8687,48971,8657,226197,142968,134,9,42,1,2,0.365
37941,122,研发中心,81,293,12348,1000,27,2021/6/6 9:26,6,9,26,8684,48846,8659,225632,60972,37,3,62,1,1,0.5025
37942,122,研发中心,129,1174,13217,1000,66,2021/5/22 6:06,22,6,6,8704,49138,8677,226908,262425,107,11,36,1,2,0.2184
37943,122,研发中心,91,699,23281,1000,44,2021/5/19 7:16,19,7,16,8687,48988,8667,226259,153334,134,13,66,2,1,0.3285
37944,122,研发中心,77,1039,38513,1000,87,2021/5/14 6:46,14,6,46,8680,49106,8686,226769,236760,87,2,100,1,2,0.386
37945,122,研发中心,26,1313,31585,1000,51,2021/6/17 9:39,17,9,39,8656,49183,8671,227093,299986,54,19,95,1,2,0.4837
37946,122,研发中心,23,331,13448,1000,95,2021/5/9 7:05,9,7,5,8654,48862,8692,225697,70722,119,10,88,1,1,0.2459
37947,122,研发中心,131,720,16678,1000,123,2021/6/12 6:37,12,6,37,8705,48995,8702,226297,158027,28,4,88,1,1,0.5468
37948,122,研发中心,91,292,18561,1000,40,2021/5/3 6:36,3,6,36,8687,48845,8663,225625,60544,134,14,15,2,3,0.2923
37949,122,研发中心,131,45,37478,1000,87,2021/6/25 7:56,25,7,56,8705,48780,8686,225320,11310,28,6,100,1,1,0.4367
37950,122,研发中心,125,862,35733,1000,90,2021/6/10 8:23,10,8,23,8703,49038,8688,226482,193396,119,2,127,1,1,0.4005
37951,122,研发中心,108,1102,15482,1000,51,2021/5/15 7:59,15,7,59,8696,49123,8671,226854,249270,87,9,95,3,2,0.0298
37952,122,研发中心,80,422,13752,1000,51,2021/6/6 7:18,6,7,18,8683,48898,8671,225847,90558,26,7,95,1,1,0.4654
37953,122,研发中心,23,976,25167,1000,13,2021/5/23 7:48,23,7,48,8654,49081,8649,226670,221023,119,5,117,1,1,0.2916
37954,122,研发中心,18,371,32721,1000,92,2021/5/18 7:31,18,7,31,8652,48878,8690,225750,78502,100,13,85,1,4,0.1546
37955,122,研发中心,108,293,27656,1000,88,2021/6/25 8:01,25,8,1,8696,48846,8687,225633,61040,87,3,29,1,1,0.3044
37956,122,研发中心,125,797,14772,1000,123,2021/5/26 8:53,26,8,53,8703,49025,8702,226454,177538,119,7,88,1,2,0.274
37957,122,研发中心,26,1315,17713,1000,44,2021/5/9 8:35,9,8,35,8656,49184,8667,227104,300456,54,7,66,2,1,0.2928
37958,122,研发中心,91,858,14335,1000,108,2021/6/27 8:53,27,8,53,8687,49035,8697,226475,192445,134,1,77,1,1,0.4946
37959,122,研发中心,18,1254,28413,1000,15,2021/5/7 6:32,7,6,32,8652,49165,8651,227015,283008,100,5,112,1,2,0.2725
37960,122,研发中心,91,170,15482,1000,95,2021/6/29 7:48,29,7,48,8687,48798,8692,225401,26579,134,3,88,1,1,0.3441
37961,122,研发中心,18,59,12871,1000,51,2021/5/26 6:27,26,6,27,8652,48784,8671,225342,14357,100,14,95,2,3,0.2524
37962,122,研发中心,108,1280,32723,1000,90,2021/6/8 8:59,8,8,59,8696,49171,8688,227041,291279,87,9,127,1,2,0.132
37963,122,研发中心,108,1000,38327,1000,88,2021/6/4 6:10,4,6,10,8696,49089,8687,226710,227637,87,7,29,1,1,0.1788
37964,122,研发中心,118,625,18171,1000,73,2021/5/14 9:31,14,9,31,8701,48960,8680,226142,134654,80,11,122,1,1,0.1988
37965,122,研发中心,13,784,34724,1000,90,2021/6/2 7:30,2,7,30,8649,49019,8688,226418,173885,142,11,127,1,16,0.433
37966,122,研发中心,13,437,31362,1000,66,2021/6/26 6:42,26,6,42,8649,48905,8677,225861,93818,142,11,36,1,2,0.4056
37967,122,研发中心,18,198,25618,1000,87,2021/6/19 6:12,19,6,12,8652,48804,8686,225416,32963,100,3,100,1,2,0.2883
37968,122,研发中心,38,1040,26162,1000,16,2021/6/23 7:28,23,7,28,8664,49107,8652,226774,237109,93,10,68,2,3,0.0692
37969,122,研发中心,4,934,18726,1000,13,2021/5/28 7:28,28,7,28,8646,49063,8649,226589,210809,27,2,117,1,1,0.5567
37970,122,研发中心,24,319,12383,1000,102,2021/5/19 7:09,19,7,9,8655,48857,8694,225685,68094,118,5,103,1,1,0.3107
37971,122,研发中心,129,894,24277,1000,40,2021/5/5 8:50,5,8,50,8704,49049,8663,226541,201988,107,13,15,1,1,0.2852
37972,122,研发中心,115,38,23635,1000,92,2021/6/27 7:45,27,7,45,8698,48777,8690,225305,8554,51,4,85,1,2,0.3637
37973,122,研发中心,18,1288,28852,1000,15,2021/5/8 8:15,8,8,15,8652,49174,8651,227052,292811,100,13,112,1,1,0.256
37974,122,研发中心,125,1135,28221,1000,100,2021/6/20 9:26,20,9,26,8703,49134,8693,226891,256726,119,5,1,4,1,0.3275
37975,122,研发中心,23,598,24618,1000,0,2021/6/4 5:33,4,5,33,8654,48952,8647,226091,128760,119,10,54,2,4,0.3511
37976,122,研发中心,129,591,13365,1000,123,2021/5/12 5:53,12,5,53,8704,48950,8702,226076,127843,107,11,88,1,2,0.2125
37977,122,研发中心,13,248,33754,1000,128,2021/6/2 6:27,2,6,27,8649,48823,8705,225513,46489,142,12,7,1,1,0.3983
37978,122,研发中心,36,1001,26853,1000,44,2021/5/7 9:00,7,9,0,8662,49090,8667,226711,227845,66,8,66,1,5,0.237
37979,122,研发中心,26,958,33455,1000,123,2021/6/3 7:36,3,7,36,8656,49072,8702,226618,215387,54,9,88,1,1,0.2341
37980,122,研发中心,38,659,27734,1000,88,2021/5/18 6:29,18,6,29,8664,48972,8687,226201,143248,93,1,29,1,1,0.4275
37981,122,研发中心,38,1037,35541,1000,91,2021/6/7 8:14,7,8,14,8664,49105,8689,226762,236051,93,11,134,3,2,0.0539
37982,122,研发中心,78,958,17615,1000,85,2021/5/17 7:16,17,7,16,8681,49072,8685,226623,215524,59,9,34,1,1,0.2677
37983,122,研发中心,77,382,13375,1000,105,2021/6/15 7:37,15,7,37,8680,48885,8695,225785,82116,87,3,111,1,1,0.3036
37984,122,研发中心,115,1238,17416,1000,51,2021/5/28 9:33,28,9,33,8698,49158,8671,226991,278614,51,4,95,1,2,0.3437
37985,122,研发中心,24,764,34388,1000,73,2021/5/25 8:53,25,8,53,8655,49014,8680,226400,169222,118,8,122,2,3,0.255
37986,122,研发中心,78,757,28112,1000,105,2021/5/13 7:30,13,7,30,8681,49011,8695,226382,167685,59,16,111,1,1,0.3318
37987,122,研发中心,129,372,33385,1000,95,2021/6/20 10:16,20,10,16,8704,48879,8692,225771,79350,107,18,88,1,1,0.5275
37988,122,研发中心,91,748,16435,1000,15,2021/6/19 8:07,19,8,7,8687,49007,8651,226364,165404,134,8,112,1,4,0.2504
37989,122,研发中心,13,747,26616,1000,91,2021/5/2 7:45,2,7,45,8649,49006,8689,226350,164650,142,14,134,2,706,0.5913
37990,122,研发中心,77,716,17237,1000,34,2021/6/6 5:47,6,5,47,8680,48993,8661,226287,156563,87,13,46,1,2,0.2563
37991,122,研发中心,78,449,14184,1000,15,2021/5/14 8:26,14,8,26,8681,48910,8651,225885,97670,59,11,112,2,1,0.2849
37992,122,研发中心,31,560,16251,1000,16,2021/5/13 9:24,13,9,24,8659,48940,8652,226014,120485,8,11,68,1,1,0.6006
37993,122,研发中心,108,532,27881,1000,123,2021/6/28 5:54,28,5,54,8696,48935,8702,225983,115049,87,1,88,1,1,0.4478
37994,122,研发中心,129,284,13255,1000,123,2021/5/8 8:44,8,8,44,8704,48844,8702,225617,59033,107,6,88,2,2,0.1941
37995,122,研发中心,125,1207,34653,1000,47,2021/6/7 6:59,7,6,59,8703,49147,8670,226937,269625,119,1,13,1,1,0.4873
37996,122,研发中心,39,471,12431,1000,115,2021/6/29 6:17,29,6,17,8665,48917,8701,225910,101527,83,7,48,1,1,0.171
37997,122,研发中心,129,747,34653,1000,87,2021/6/2 7:09,2,7,9,8704,49006,8686,226359,165061,107,14,100,1,2,0.4677
37998,122,研发中心,39,764,25186,1000,91,2021/5/2 9:01,2,9,1,8665,49014,8689,226402,169306,83,8,134,2,2,0.1246
37999,122,研发中心,13,254,16318,1000,51,2021/6/14 6:30,14,6,30,8649,48828,8671,225554,49131,142,12,95,2,1,0.3967
38000,122,研发中心,36,1247,34572,1000,92,2021/6/3 7:24,3,7,24,8662,49160,8690,226997,280239,66,13,85,1,3,0.2338
38001,122,研发中心,37,877,17756,1000,105,2021/5/1 9:06,1,9,6,8663,49041,8695,226492,197007,39,6,111,1,1,0.4374
38002,122,研发中心,16,1132,28114,1000,91,2021/5/1 7:32,1,7,32,8650,49133,8689,226882,255442,14,13,134,1,1,0.5387
38003,122,研发中心,39,757,38867,1000,80,2021/6/4 7:50,4,7,50,8665,49011,8684,226380,167603,83,16,11,1,1,0.2063
38004,122,研发中心,18,798,11147,1000,129,2021/6/27 7:21,27,7,21,8652,49026,8706,226455,177634,100,2,28,1,1,0.383
38005,122,研发中心,118,1215,26484,1000,91,2021/6/12 9:01,12,9,1,8701,49148,8689,226943,271576,80,8,134,1,3,0.1356
38006,122,研发中心,81,579,13752,1000,73,2021/5/7 9:44,7,9,44,8684,48947,8680,226057,125057,37,6,122,1,1,0.4217
38007,122,研发中心,77,613,31362,1000,73,2021/6/17 8:09,17,8,9,8680,48956,8680,226119,132043,87,8,122,1,3,0.0434
38008,122,研发中心,39,725,35161,1000,91,2021/5/22 8:53,22,8,53,8665,48996,8689,226302,158679,83,12,134,1,2,0.1145
38009,122,研发中心,131,250,34724,1000,44,2021/6/9 8:44,9,8,44,8705,48825,8667,225530,47752,28,7,66,1,1,0.4522
38010,122,研发中心,38,438,24162,1000,105,2021/6/29 8:08,29,8,8,8664,48906,8695,225870,94404,93,1,111,1,1,0.4106
38011,122,研发中心,89,536,26616,1000,92,2021/5/6 7:26,6,7,26,8686,48936,8690,225990,116290,21,12,85,1,1,0.4957
38012,122,研发中心,42,44,38341,1000,13,2021/6/26 7:13,26,7,13,8666,48779,8649,225311,10563,10,9,117,1,2,0.569
38013,122,研发中心,101,999,23383,1000,90,2021/6/25 8:20,25,8,20,8693,49088,8688,226701,227195,115,10,127,1,4,0.1454
38014,122,研发中心,125,277,35643,1000,87,2021/5/26 5:58,26,5,58,8703,48840,8686,225601,56511,119,7,100,1,4,0.3481
38015,122,研发中心,125,625,18122,1000,73,2021/6/5 8:40,5,8,40,8703,48960,8680,226143,134676,119,11,122,1,2,0.2846
38016,122,研发中心,91,216,21712,1000,108,2021/5/17 7:29,17,7,29,8687,48809,8697,225447,37627,134,10,77,1,2,0.3049
38017,122,研发中心,24,1097,38327,1000,91,2021/6/24 7:18,24,7,18,8655,49120,8689,226842,247635,118,8,134,1,3,0.2333
38018,122,研发中心,91,277,35517,1000,105,2021/6/28 9:42,28,9,42,8687,48840,8695,225599,56412,134,7,111,2,1,0.3575
38019,122,研发中心,13,1223,31835,1000,95,2021/5/13 7:26,13,7,26,8649,49151,8692,226952,274166,142,1,88,1,1,0.5356
38020,122,研发中心,38,198,33545,1000,107,2021/5/1 8:32,1,8,32,8664,48804,8696,225417,33068,93,3,8,1,1,0.2456
38021,122,研发中心,16,674,31585,1000,0,2021/5/6 7:07,6,7,7,8650,48978,8647,226221,147385,14,11,54,2,2,0.5278
38022,122,研发中心,115,968,25618,1000,95,2021/6/12 6:55,12,6,55,8698,49078,8692,226656,219405,51,10,88,2,1,0.2902
38023,122,研发中心,80,8,12876,1000,95,2021/6/23 7:39,23,7,39,8683,48770,8692,225268,2862,26,13,88,1,1,0.4746
38024,122,研发中心,77,202,12665,1000,95,2021/6/4 6:06,4,6,6,8680,48805,8692,225423,33883,87,12,88,2,1,0.1555
38025,122,研发中心,23,317,27538,1000,108,2021/6/27 8:29,27,8,29,8654,48855,8697,225669,67188,119,7,77,1,1,0.3008
38026,122,研发中心,115,699,16653,1000,90,2021/6/22 8:26,22,8,26,8698,48988,8688,226261,153421,51,13,127,2,1,0.3262
38027,122,研发中心,118,422,11855,1000,77,2021/6/8 8:10,8,8,10,8701,48898,8682,225850,90693,80,7,26,1,1,0.0444
38028,122,研发中心,39,697,13752,1000,108,2021/5/5 7:12,5,7,12,8665,48987,8697,226248,152667,83,10,77,2,1,0.0517
38029,122,研发中心,118,1288,33754,1000,44,2021/6/7 7:53,7,7,53,8701,49174,8667,227061,293181,80,13,66,2,2,0.2402
38030,122,研发中心,77,1291,16653,1000,66,2021/6/11 8:15,11,8,15,8680,49175,8677,227063,293675,87,4,36,1,1,0.3076
38031,122,研发中心,108,192,27418,1000,77,2021/6/27 8:31,27,8,31,8696,48802,8682,225412,31306,87,9,26,1,1,0.0742
38032,122,研发中心,4,237,23281,1000,91,2021/5/25 7:00,25,7,0,8646,48816,8689,225465,42177,27,16,134,1,1,0.4649
38033,122,研发中心,101,970,23281,1000,92,2021/5/25 7:25,25,7,25,8693,49080,8690,226664,220194,115,15,85,3,1,0.1734
38034,122,研发中心,18,592,33754,1000,108,2021/6/15 8:42,15,8,42,8652,48951,8697,226078,127933,100,15,77,1,2,0.3656
38035,122,研发中心,24,734,36113,1000,0,2021/6/24 7:48,24,7,48,8655,49001,8647,226329,161607,118,7,54,1,2,0.2639
38036,122,研发中心,108,154,37116,1000,53,2021/5/8 6:42,8,6,42,8696,48789,8672,225358,20653,87,2,13,2,2,0.354
38037,122,研发中心,101,888,34782,1000,129,2021/5/13 6:39,13,6,39,8693,49046,8706,226511,200053,115,3,28,1,1,0.3215
38038,122,研发中心,13,318,26574,1000,15,2021/6/21 9:41,21,9,41,8649,48856,8651,225676,67560,142,10,112,2,5,0.4234
38039,122,研发中心,61,591,28473,1000,90,2021/5/11 6:56,11,6,56,8673,48950,8688,226073,127631,52,11,127,1,2,0.2558
38040,122,研发中心,13,726,23782,1000,80,2021/6/13 8:13,13,8,13,8649,48997,8684,226308,158982,142,6,11,1,1,0.4163
38041,122,研发中心,129,1318,23128,1000,102,2021/6/3 8:00,3,8,0,8704,49185,8694,227117,301339,107,13,103,4,3,0.2032
38042,122,研发中心,108,903,38778,1000,16,2021/6/29 7:16,29,7,16,8696,49054,8652,226564,205087,87,14,68,1,2,0.2786
38043,122,研发中心,1,254,14652,1000,51,2021/6/24 7:13,24,7,13,8645,48828,8671,225553,49103,63,12,95,1,2,0.1358
38044,122,研发中心,61,624,22383,1000,66,2021/6/29 6:02,29,6,2,8673,48959,8677,226129,134039,52,10,36,1,1,0.3119
38045,122,研发中心,79,57,24484,1000,73,2021/6/11 8:31,11,8,31,8682,48783,8680,225338,13745,25,8,122,1,1,0.5002
38046,122,研发中心,101,437,23133,1000,123,2021/5/15 5:44,15,5,44,8693,48905,8702,225867,94127,115,11,88,1,3,0.2615
38047,122,研发中心,67,508,24524,1000,25,2021/6/18 7:11,18,7,11,8675,48930,8657,225963,109427,45,6,42,2,12,0.3689
38048,122,研发中心,61,625,38341,1000,15,2021/5/8 8:55,8,8,55,8673,48960,8651,226139,134478,52,11,112,3,1,0.2867
38049,122,研发中心,118,653,17416,1000,16,2021/6/2 6:13,2,6,13,8701,48970,8652,226192,142304,80,16,68,2,1,0.2831
38050,122,研发中心,4,307,28473,1000,90,2021/5/16 8:19,16,8,19,8646,48852,8688,225646,64601,27,10,127,2,1,0.4416
38051,122,研发中心,118,592,22828,1000,13,2021/6/29 8:09,29,8,9,8701,48951,8649,226085,128240,80,15,117,2,3,0.3474
38052,122,研发中心,91,795,34332,1000,13,2021/6/26 6:48,26,6,48,8687,49024,8649,226446,176920,134,13,117,1,8,0.3609
38053,122,研发中心,1,697,11415,1000,91,2021/6/22 6:33,22,6,33,8645,48987,8689,226245,152483,63,10,134,1,1,0.171
38054,122,研发中心,23,1155,35674,1000,77,2021/5/8 8:45,8,8,45,8654,49135,8682,226893,258446,119,11,26,3,1,0.2786
38055,122,研发中心,23,781,35674,1000,95,2021/6/27 5:30,27,5,30,8654,49018,8692,226409,173392,119,10,88,1,2,0.3269
38056,122,研发中心,91,1247,28114,1000,102,2021/6/13 5:01,13,5,1,8687,49160,8694,226999,280418,134,13,103,2,6,0.4068
38057,122,研发中心,118,1077,12876,1000,15,2021/5/26 5:58,26,5,58,8701,49117,8651,226830,244417,80,6,112,1,2,0.2645
38058,122,研发中心,1,241,27538,1000,105,2021/5/27 5:33,27,5,33,8645,48817,8695,225477,43744,63,5,111,1,2,0.3017
38059,122,研发中心,77,202,31835,1000,90,2021/5/1 6:47,1,6,47,8680,48805,8688,225423,33882,87,12,127,2,3,0.0866
38060,122,研发中心,13,371,13375,1000,27,2021/6/5 8:49,5,8,49,8649,48878,8659,225749,78461,142,13,62,2,1,0.4169
38061,122,研发中心,101,758,31876,1000,0,2021/6/13 5:29,13,5,29,8693,49012,8647,226393,168207,115,13,54,2,2,0.2696
